标题,链接,价格,作者,出版时间,评论数,简介
Python核心编程 第3版 畅销经典的Python基础教程学习手册进阶图书 兼顾Python2和Python3 机器学习 数据处理 网络爬虫热门编程语言 Python开发人员的案头常备,http://product.dangdang.com/23961748.html,¥89.30,[美]卫斯理 春（Wesley Chun）,2016-05-01,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供杰出实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识 想进一步提升Python编程水平？请深入分析真实应用程序中使用的大量相关主题涵盖了正则表达式、Internet/网络编程、GUI、SQL/数据库/ORM、多线程、Web开发了解当前的开发区域，比如Google 、Twitter、MongoDB、OAuth、Python 3迁移、Java/Jython囊括有关Django、Google App Engine、CSV/JSON/XML和Microsoft Office的全新内容。包含Python 2和Python 3代码，以便立即可以使用提供了代码片段、互动案例和实用练习，旨在巩固Python技能 Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在《 Python核心编程 第3版 》中，杰出Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。《Py
Python Cookbook（第3版）中文版 经典Python图书升级版本 Python编程从入门到实践 涵盖Python 3.3 包含大量实用Python编程技巧和Python黑魔法 囊括常见Python编程领域,http://product.dangdang.com/23690527.html,¥97.40,（美）比斯利，（美）琼斯 著，陈舸 译,2015-05-01,如果你在编写Python 3程序时需要帮助，或者想更新老的Python 2代码，本书正是你所需要的。本书包含了大量使用Python 3.3编写并测试过的实用编程技巧。对于那些关注现代工具和惯用技巧的有经验的Python程序员来说，本书无可替代。 本书包含了12个以上的完整主题，其范围涵盖了Python语言的核心以及多个应用领域中的常见任务。每一节中包含的示例代码都可以立刻应用到你自己的项目中去，而每节的讨论部分则告诉你解决方案是如何以及为什么能够工作。 本书主题包括： 数据结构和算法； 字符串和文本； 数字、日期和时间； 迭代器和生成器； 文件和I/O； 数据编码与处理； 函数； 类与对象； 元编程； 模块和包； 网络和Web编程； 并发； 实用脚本和系统管理； 测试、调试以及异常； C语
基于Python的金融分析与风险管理 Python金融分析和风险管理的实用指南 金融大数据分析和金融风控的参考书 金融科技人才的优选读物 NumPy、Pandas、Matplotlib等重要模块的使用技巧尽在掌握,http://product.dangdang.com/27943466.html,¥106.40,斯文,2019-10-01,金融科技时代已经到来，善于将金融理论与IT技术进行深度融合的人，将成为新时代独具竞争力的金融科技类人才。无论是打算在金融领域求职的新人，还是希望进一步提升个人能力的 职场老手 ，本书都值得一看。 1.内容前沿，将Python编程与金融分析、风险管理巧妙结合，引领金融科技新时代。 2.源于实践，完美整合了作者20余年的金融从业经验和Python编程实践。 3.实例丰富，提供244个金融实战案例，彰显Python在金融领域运用的简洁与高效。 4.注重效率，清晰的编程步骤和详尽的代码注释，帮你轻松理解并掌握Python编程。 5.覆盖面广，案例涵盖货币市场、债券市场、股票市场、期货市场和期权市场。 6.聚焦风控，深度剖析各类金融产品的风险，讨论风险管理的重要工具和量化模型。
基于Python的大数据分析基础及实战 Python3.6基础入门，涵盖数据处理、数据分析、数据可视化、网络爬虫主要应用，采用基础知识+实战案例+拓展与延伸，配套丰富学习资源，附赠案例视频+源代码+源数据文件，教你迅速掌握Python语言,http://product.dangdang.com/25307829.html,¥58.80,余本国,2018-07-01,配套视频教程 手把手教你学Python 提炼避坑心法 简明、高效懂Python 实战案例分析 轻松、快速玩Python 讲解 实践 案例 视频 源代码 源数据 针对Python新手量身定做，入门必备的真爱之选 作者简介：余本国，博士，硕士研究生导师。于中北大学理学系任教，主讲线性代数、微积分、Python语言、大数据分析基础等课程。2012年到加拿大York University做访问学者。出版有《Python数据分析基础》等著作。
教孩子学编程 Python语言版 少儿编程入门书 高中新课标必修编程入门书 中小学编程自学教程 基于Python3编写的程序设计入门书 学习计算机思维方式 构建编程思维 寓教于乐全彩印刷,http://product.dangdang.com/23928893.html,¥53.20,[美] Bryson Payne,2016-03-01,本书属于No Starch的经典系列之一，英文版在美国受到读者欢迎。本书全彩印刷，寓教于乐，易于学习；读者可以轻松与快递地掌握解决问题方法和程序设计思维的。 编程从孩子抓起 得到越来越多的人的认同和重视。本书是父母教孩子学习Python程序设计的亲子读物。
Python机器学习手册：从数据预处理到深度学习,http://product.dangdang.com/27902091.html,¥82.20,（美）Chris Albon（克里斯・阿尔本）,2019-07-01,采用基于任务的方式介绍机器学习 涵盖在构建机器学习模型时可能遇到的常见任务 提供近200个小任务的解决方案，以及代码 在代码中加深对理论的理解
Python真好玩：教孩子学编程 少儿编程入门书 基于Python 3编写的程序设计入门书 中小学编程自学教程 学习计算机思维方式 构建编程思维 和孩子一起学编程 趣学Python 编程真好玩,http://product.dangdang.com/27919783.html,¥60.70,刘凤飞 曾茜,2019-08-25,少儿编程入门书 基于Python 3编写的程序设计入门书 中小学编程自学教程 学习计算机思维方式 构建编程思维 和孩子一起学编程 趣学Python 编程真好玩
Python网络爬虫从入门到实践,http://product.dangdang.com/27912459.html,¥73.00,庄培杰,2019-07-01
图解Python--轻松快速掌握实力派脚本语言精华 日本爆款热销书――图解Python闪亮来袭！累计销量70万+！轻松有趣！全新编程体验惊叹连连，原来编程还可以这样学！,http://product.dangdang.com/27931595.html,¥55.20,"[日]株式会社ANK 著,周昊天 译",2019-09-05,想要轻松有趣学习编程的人的好伴侣！日本超高人气的绘本系列图书之图解Python闪亮来袭！累计销量70万 ！全新的编程体验让你惊叹连连：原来编程还可以这样学！打破以往枯燥式的讲解，寓教于乐！形式像绘本一样有趣，内容像辞典一样严谨！ 为什么学习Python？ 语言的简洁性、易读性，以及可扩展性 当今备受欢迎的程序设计语言之一 没有任何编程基础，也能轻松学会 为什么选择本书？ 有趣 你见过一本用插图来讲解Python的书吗？轻松有趣的同时，该讲的知识却一点儿也不落下！ 科学 常常为不知该怎么学好Python而烦恼？秉持寓教于乐的理念，带你体验科学的学习方法！ 省心 在众多的Python书籍中眼花缭乱，不知所措？寻找优质的Python入门教程，这一本就Go！
Python统计分析 Python 建模 数据分析 讲述统计数据分析与应用 随书提供Python代码和数据 方便读者动手实践 Springer,http://product.dangdang.com/26184453.html,¥71.30,[奥地利]托马斯・哈斯尔万特(Thomas Haslwanter),2018-12-01,近年来Python生态系统不断完善，Python这门语言已经成为科学计算的流行语言，它为统计数据分析提供了强大的操作环境。本书主要介绍了Python在统计数据分析中的应用，内容涵盖连续、离散和分类数据的常见统计检验，以及线性回归分析、生存分析和贝叶斯统计等主题。本书的特色：针对每种检验方法，提供了Python解决方案的代码和数据，以及便于实际操作的Python示例。借此，读者可以重现这些问题并加强他们对这些统计分析方法的理解。本书所用数据主要来自生命科学和医学科学，因此对这些领域的学生可能更有针对性。不过，本书也介绍了Python的基础知识以及一些统计学的基础知识，任何想要进行统计数据分析的人都可以阅读本书。
Python编程（第四版） Python高手进阶宝典，包含大量实用Python编程技巧，涵盖Python编程的方方面面，完全更新到Python 3.x，是Python领域经典的开发指南,http://product.dangdang.com/23617284.html,¥136.60,Mark Lutz,2014-12-01,重磅推荐： Python袖珍指南（第五版） 本书是 Python 应用的手册指南，它涵盖了 Python 编程的方方面面，从系统管理到图形界面编程，从文本处理到网络编程，从数据库到语言扩展 这些主题的探讨中，作者提供了大量的实际代码，通过对这些代码的研读，对读者的 Python 编程水平以及实际业务问题的解决都将不无裨益。
笨办法学Python 3 经典畅销Python入门教程升级版 Python3编程从入门到实践教程 手机扫码看5个小时配套视频 跟着数百万人的Python导师学Python编程入门基础教程 代码基于Python3.6,http://product.dangdang.com/25286312.html,¥43.90,[美]泽德 A. 肖（Zed A. Shaw）,2018-06-01,知乎、CSDN等各大论坛技术大牛推荐的Python自学入门畅销书《笨办法学Python》重磅升级，所有案例均基于Python3.6编写。 免费提供长达5个小时的配套教学视频，用手机扫码在线观看视频，更方便。 Zed A. Shaw创建了一套非常有效的Python 3学习体系，只要跟着学，你就会像Zed教过的数百万初学者一样获得成功！只要你能自律、投入和坚持！ 在本书中，你将通过完成52个精心设计的习题来学会Python语言。阅读这些习题，照着录入代码（不要复制和粘贴！），修正自己的错误，观察程序的运行。在这个过程中，你将学会计算机的工作原理，知道怎样的程序才算是好程序，以及如何读、写和思考代码。作者还提供了5个多小时的视频，教你如何破坏、修正和调试代码，整个过程就像一边做题一边直播一样。一开始会很难，但很快你就会上手，并且会感觉很棒！ 本书适合以下人
Python 3网络爬虫开发实战 【图灵原创】博客文章访问量过百万的博主倾力打造，教你学会如何用Python 3开发爬虫,http://product.dangdang.com/25249602.html,¥89.30,崔庆才,2018-04-01,案例丰富，注重实战博客文章过百万的静觅大神力作全面介绍了数据采集、数据存储、动态网站爬取、App爬取、验证码破解、模拟登录、代理使用、爬虫框架、分布式爬取等知识涉及的库或工具：urllib、requests、Beautiful Soup、XPath、pyquery、redis-py、PyMongo、PyMySQL、Selenium、Splash、Charles、mitmproxy、mitmdump、Appium、pyspider、Scrapy、Scrapy-Redis、Scrapy-Splash、Docker、Bloom Filter、Gerapy等
Python网络爬虫权威指南 第2版 Python 3网络爬虫开发入门书籍 全面介绍网页抓取技术 解决Web数据采集、转换和使用中的诸多常见问题和痛点,http://product.dangdang.com/27857494.html,¥71.30,[美] 瑞安・米切尔（Ryan Mitchell）,2019-04-01,作为一种采集和理解网络上海量信息的方式，网页抓取技术变得越来越重要。而编写简单的自动化程序（网络爬虫），一次就可以自动抓取上百万个网页中的信息，实现高效的数据采集和处理，满足大量数据需求应用场景。 本书采用简洁强大的Python语言，全面介绍网页抓取技术，解答诸多常见问题，是掌握从数据爬取到数据清洗全流程的系统实践指南。书中内容分为两部分。*部分深入讲解网页抓取的基础知识，重点介绍BeautifulSoup、Scrapy等Python库的应用。第二部分介绍网络爬虫编写相关的主题，以及各种数据抓取工具和应用程序，帮你深入互联网的每个角落，分析原始数据，获取数据背后的故事，轻松解决遇到的各类网页抓取问题。第2版全面更新，新增网络爬虫模型、Scrapy和并行网页抓取相关章节。 - 解析复杂的HTML页面 - 使用Scrapy框架开发爬虫 - 学习
零基础轻松学Python Python之父力荐，一本有趣、有用、好学的Python编程书！轻轻松松从零开始学Python3，送案例视频、作者一对一答疑,http://product.dangdang.com/27876895.html,¥54.50,小码哥,2019-06-01,Python之父Guido van Rossum力荐的Python入门书。本书以通俗易懂的语言、好玩有趣的案例让读者轻轻松松、循序渐进地从零开始掌握Python 3 编程。本书内容也是作者带领的 Python 实战圈 里数千名 圈友 的学习结晶。圈子里的小伙伴都是零基础开始学习Python 编程，甚至之前没有接触过编程的，比如初中生、跨行业学习者等。
Python 快速入门 第3版 Python编程基础教程从入门到实践书籍，零基础快速上手学Python核心编程，Python软件基金会作品，提供习题答案及源代码,http://product.dangdang.com/27903882.html,¥80.30,[美]娜奥米・塞德（Naomi Ceder）,2019-08-01,Python如今已经发展成为一种令人惊叹的计算机语言，它已强大到足以应对从底层系统资源到应用程序（如深度学习）的方方面面。它既简洁、优雅又功能完备，还拥有庞大的由库和框架构成的生态系统。Python程序员的需求量很大，不熟练掌握Python显然不行！ 本书是Python专业人士Naomi Ceder编写的Python语言的综合指南。她是一位经验丰富的教学者，她既能让读者关注语言的细节，又能使其具备解决实际问题的能力。本书中配有大量贴切的示例和边做边学的习题，有助于读者掌握每一个重要概念。无论读者是要抓取网站内容还是想玩转嵌套元组，都会赞叹本书的清晰、专注和对细节的重视。 本书主要内容 ● 明确涵盖Python 3。 ● 全面介绍核心库、包和工具。 ● 配备精深的习题。 ● 新增5章与数据科学相关的内容。 本书专为熟悉编程概念的读者编写，但不要求读者具备Py
Python趣味编程：从入门到人工智能 从Scratch到Python轻松进阶，手把手教你学习AI编程语言,http://product.dangdang.com/27896566.html,¥40.70,谢声涛,2019-06-25,"《Python趣味编程：从入门到人工智能》从Scratch到Python轻松进阶，手把手教你学习AI编程语言 一学就会的零基础入门书；基于 Python 3.7 版本；从经典的hello, world学起；步步为营掌握Python语言；用Python玩转数学和算法；用Pyglet 写捕鱼达人游戏；用AI把照片变成世界名画；感受Python编程无限魅力。"
Python绝技：运用Python成为顶级黑客 Xcon&神话行动创始人呆神、Keenteam陈良、鹰总cnhawk、知道创宇技术副总裁余弦、长亭科技首席安全研究员杨坤联合推荐！本书将作为“神话――信息安全人才颠覆行动”学员学习用专业书!,http://product.dangdang.com/23839735.html,¥73.00,（美）TJ O,2015-12-01,关于 Python 的书虽然已有不少，但从安全从业者角度全方位剖析 Python 的书籍几乎没有，《 Python 绝技：运用 Python 成为**黑客》填补了这个的空白：包含了渗透测试、 Web 分析、网络分析、取证分析以及利用无线设备等方面的 Python 攻防方法。 无论你是从事安全研究的哪个方向，书中的大量深入浅出的案例分析均可以让你掌握有用的技能，快速上手编写代码，在工作中事半功倍，拓展视野、培养和锻炼自己的黑客思维。
Python游戏编程入门 游戏开发权威专家力作 掌握Python游戏编程佳选,http://product.dangdang.com/23628345.html,¥44.20,[?] Jonathan S.Harbour ?,2015-01-01,学习一种编程语言，还有比开发游戏更好的方法吗？本书为读者提供了充分的实践和练习，并且关注Python编程中的高级话题，这些全部通过游戏示例和项目来介绍，而这已经证明是一种高效而有趣的学习方法。本书介绍了数据结构、文件处理、异常、面向对象编程、GUI编程、多媒体编程、命名空间和程序规划。本书将使读者掌握Python语言的深层知识。 本书具有以下特色： 1.以开发游戏为学习方法； 2.利用已经学到的知识，逐渐增加编程项目的挑战性，逐步构建牢固的基础知识； 3.通过每章*后的挑战练习，鼓励读者测试自己的技能并应用自己的知识； 4.Web站点包含了所有的源代码和其他资料。
Python数据可视化之matplotlib实践,http://product.dangdang.com/25339676.html,¥54.50,刘大成,2018-09-01,全面讲解使用matplotlib绘制各种图表的方法，并灵活设置图形 采用大量案例，使读者可以根据自身需求灵活使用matplotlib中的函数、面向对象方法和绘图语句
流畅的Python 【图灵程序设计丛书】PSF研究员 知名PyCon演讲者心血之作 全面深入 对Python语言关键特性剖析到位 兼顾Python 3和Python 2,http://product.dangdang.com/25071121.html,¥125.30,[巴西]卢西亚诺・拉马略（Luciano Ramalho）,2017-04-01,流畅的Python 由奋战在Python开发一线近20年的Luciano Ramalho执笔，Victor Stinner、Alex Martelli等Python大咖担纲技术审稿人，从语言设计层面剖析编程细节，兼顾Python 3和Python 2，告诉你Python中不亲自动手实践就无法理解的语言陷阱成因和解决之道，教你写出风格地道的Python代码。 ● Python数据模型：理解为什么特殊方法是对象行为一致的关键。 ● 数据结构：充分利用内置类型，理解Unicode文本和字节二象性。 ● 把函数视作对象：把Python函数视作一等对象，并了解这一点对流行的设计模式的影响。 ● 面向对象习惯用法：通过构建类学习引用、可变性、接口、运算符重载和多重继承。 ● 控制流程：学习使用上下文管理器、生成器、协程，以及通过concurrent.futures和asyncio包实现的并发。 ● 元编程：理解特性、描述符、类装饰器和元类的工作原理。
Python从菜鸟到高手 JetBrains官方推荐图书！JetBrains官大中华区市场部经理赵磊作序！送2400分钟同步视频课程！500个案例，400道Python练习题，电子书，10万行源代码，6个实战项目！,http://product.dangdang.com/25333314.html,¥87.10,李宁,2018-09-01,JetBrains官方推荐图书！JetBrains官大中华区市场部经理赵磊作序！送2400分钟同步视频课程！500个案例，400道Python练习题，电子书，10万行源代码，6个实战项目！ 李宁 私房菜谱 ： ? Python语法基础 ? Python高级编程 ? Python Web开发 ? Python科学计算与数据分析 ? Python Web爬虫技术 ? Python项目实战 李宁 实战项目 ： ? Web项目实战：基于Flask的美团网 ? Web项目实战：基于Django的58同城 ? 爬虫项目实战：天气预报服务API ? 爬虫项目实战：胸罩销售数据分析 ? GUI项目实战：动态修改域名指向的IP ? 游戏项目实战：俄罗斯方块
精通Python爬虫框架Scrapy python3 scrapy教程 全面剖析网络爬虫技术的实现原理 通过爬取示例演示Scrapy的应用 涵盖从桌面端爬取到移动端爬取 实时爬取在内的所有内容,http://product.dangdang.com/25227022.html,¥53.20,[美]迪米特里奥斯 考奇斯-劳卡斯（Dimitrios Kouzis-Loukas）,2018-02-01,Scrapy是一个开源的Python爬虫框架，可以用来轻松提取从页面数据。Scrapy带有丰富的特性，可通过简单的编码或配置来访问，从而可以节省开发人员数周的开发时间，并高效地提取所需数据。Scrapy有一个高度活跃且迅速增长的社区，而且已经成为黑客、创业者和Web爬取专家的首 选框架。本书讲解了Scrapy的基础知识，讨论了如何从任意源提取数据，如何清理数据，以及如何使用Python和第三方API进行处理，以满足自身需求。本书还讲解了如何将爬取的数据高效地馈入数据库、搜索引擎和流数据处理系统（比如Apache Spark）。在学习完本书后，你将对数据爬取胸有成竹，并将数据应用在自己的应用程序中。本书内容：使用HTML和Xpath提取所需的数据；使用Python编写Scrapy爬虫，并在网络上进行爬取操作；将数据推送到任意数据库、搜搜引擎或分析系统的方法；配置爬虫，使其下载
